Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances,none,none,none,none,none,none,none,none,none
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances,none,none,none,none,none,none,none,none,none
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,none,none,none,none,none,none,none,none,none
cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,none,none,none,none,none,none,none,none,none,none,none,none
cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,none,none,none,none,none,none,none,none,none,none,none,none,none
cervical spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,none,none,none,none,none,none,none,none,none,none,none,none,none
cervical spondylosis,back_pain,weakness_in_limbs,dizziness,loss_of_balance,none,none,none,none,none,none,none,none,none,none,none,none,none
cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,loss_of_balance,none,none,none,none,none,none,none,none,none,none,none,none,none
cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,none,none,none,none,none,none,none,none,none,none,none,none,none
paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,none,none,none,none,none,none,none,none,none,none,none,none,none
paralysis (brain hemorrhage),headache,weakness_of_one_body_side,altered_sensorium,none,none,none,none,none,none,none,none,none,none,none,none,none,none
paralysis (brain hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,none,none,none,none,none,none,none,none,none,none,none,none,none,none
paralysis (brain hemorrhage),vomiting,headache,altered_sensorium,none,none,none,none,none,none,none,none,none,none,none,none,none,none
paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,none,none,none,none,none,none,none,none,none,none,none,none,none,none
jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,none,none,none,none,none,none,none,none,none
jaundice,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,none,none,none,none,none,none,none,none,none,none
jaundice,itching,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,none,none,none,none,none,none,none,none,none,none
jaundice,itching,vomiting,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,none,none,none,none,none,none,none,none,none,none
jaundice,itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain,none,none,none,none,none,none,none,none,none,none
jaundice,itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine,abdominal_pain,none,none,none,none,none,none,none,none,none,none
jaundice,itching,vomiting,fatigue,weight_loss,high_fever,dark_urine,abdominal_pain,none,none,none,none,none,none,none,none,none,none
jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,abdominal_pain,none,none,none,none,none,none,none,none,none,none
jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,none,none,none,none,none,none,none,none,none,none
malaria,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,none,none,none,none,none,none,none,none,none,none
malaria,chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,none,none,none,none,none,none,none,none,none
malaria,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,none,none,none,none,none,none,none,none,none,none
malaria,chills,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,none,none,none,none,none,none,none,none,none,none
malaria,chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain,none,none,none,none,none,none,none,none,none,none
malaria,chills,vomiting,high_fever,headache,nausea,diarrhoea,muscle_pain,none,none,none,none,none,none,none,none,none,none
malaria,chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain,none,none,none,none,none,none,none,none,none,none
malaria,chills,vomiting,high_fever,sweating,headache,diarrhoea,muscle_pain,none,none,none,none,none,none,none,none,none,none
chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,none,none,none,none,none,none
chicken pox,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,none,none,none,none,none,none,none
chicken pox,itching,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,none,none,none,none,none,none,none
chicken pox,itching,skin_rash,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,none,none,none,none,none,none,none
chicken pox,itching,skin_rash,fatigue,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,none,none,none,none,none,none,none
chicken pox,itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,none,none,none,none,none,none,none
chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,none,none,none,none,none,none,none
chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,none,none,none,none,none,none,none
chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,swelled_lymph_nodes,malaise,red_spots_over_body,none,none,none,none,none,none,none
chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,malaise,red_spots_over_body,none,none,none,none,none,none,none
dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,muscle_pain,red_spots_over_body,none,none,none,none
dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,red_spots_over_body,none,none,none,none
dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,none,none,none,none
dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,none,none,none
dengue,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,none,none,none,none
dengue,skin_rash,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,none,none,none,none
dengue,skin_rash,chills,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,none,none,none,none
dengue,skin_rash,chills,joint_pain,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,none,none,none,none
dengue,skin_rash,chills,joint_pain,vomiting,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,none,none,none,none
dengue,skin_rash,chills,joint_pain,vomiting,fatigue,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,none,none,none,none
typhoid,chills,vomiting,fatigue,high_fever,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,none,none,none,none,none,none,none
typhoid,chills,vomiting,fatigue,high_fever,headache,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,none,none,none,none,none,none,none
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,none,none,none,none,none,none,none
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,diarrhoea,toxic_look_(typhos),belly_pain,none,none,none,none,none,none,none
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,toxic_look_(typhos),belly_pain,none,none,none,none,none,none,none
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,belly_pain,none,none,none,none,none,none,none
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),none,none,none,none,none,none,none
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,none,none,none,none,none,none
typhoid,chills,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,none,none,none,none,none,none,none
hepatitis a,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,none,none,none,none,none,none
hepatitis a,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,none,none,none,none,none,none,none
hepatitis a,joint_pain,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,none,none,none,none,none,none,none
hepatitis a,joint_pain,vomiting,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,none,none,none,none,none,none,none
hepatitis a,joint_pain,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,none,none,none,none,none,none,none
hepatitis a,joint_pain,vomiting,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,none,none,none,none,none,none,none
hepatitis a,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,none,none,none,none,none,none,none
hepatitis a,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,none,none,none,none,none,none,none
hepatitis a,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,mild_fever,yellowing_of_eyes,muscle_pain,none,none,none,none,none,none,none
hepatitis b,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,none,none,none,none,none
hepatitis b,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,none,none,none,none,none,none
hepatitis b,itching,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,none,none,none,none,none,none
hepatitis b,itching,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,none,none,none,none,none,none
hepatitis b,itching,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,none,none,none,none,none,none
hepatitis b,itching,fatigue,lethargy,yellowish_skin,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,none,none,none,none,none,none
hepatitis b,itching,fatigue,lethargy,yellowish_skin,dark_urine,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,none,none,none,none,none,none
hepatitis b,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,none,none,none,none,none,none
hepatitis b,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,none,none,none,none,none,none
hepatitis c,fatigue,yellowish_skin,nausea,loss_of_appetite,family_history,none,none,none,none,none,none,none,none,none,none,none,none
hepatitis c,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history,none,none,none,none,none,none,none,none,none,none,none
hepatitis c,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history,none,none,none,none,none,none,none,none,none,none,none,none
hepatitis c,fatigue,nausea,loss_of_appetite,yellowing_of_eyes,family_history,none,none,none,none,none,none,none,none,none,none,none,none
hepatitis c,fatigue,yellowish_skin,loss_of_appetite,yellowing_of_eyes,family_history,none,none,none,none,none,none,none,none,none,none,none,none
hepatitis c,fatigue,yellowish_skin,nausea,yellowing_of_eyes,family_history,none,none,none,none,none,none,none,none,none,none,none,none
hepatitis c,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none,none,none
hepatitis d,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,none,none,none,none,none,none,none,none
hepatitis d,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,none,none,none,none,none,none,none,none,none
hepatitis d,joint_pain,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,none,none,none,none,none,none,none,none,none
hepatitis d,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,none,none,none,none,none,none,none,none,none
hepatitis d,joint_pain,vomiting,fatigue,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,none,none,none,none,none,none,none,none,none
hepatitis d,joint_pain,vomiting,fatigue,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,none,none,none,none,none,none,none,none,none
hepatitis d,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes,none,none,none,none,none,none,none,none,none
hepatitis d,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,abdominal_pain,yellowing_of_eyes,none,none,none,none,none,none,none,none,none
hepatitis d,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,yellowing_of_eyes,none,none,none,none,none,none,none,none,none
hepatitis d,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,none,none,none,none,none,none,none,none,none
hepatitis e,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,coma,stomach_bleeding,none,none,none,none,none
hepatitis e,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,none,none,none,none
hepatitis e,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,none,none,none,none,none
hepatitis e,joint_pain,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,none,none,none,none,none
hepatitis e,joint_pain,vomiting,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,none,none,none,none,none
hepatitis e,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,none,none,none,none,none
hepatitis e,joint_pain,vomiting,fatigue,high_fever,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,none,none,none,none,none
hepatitis e,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,none,none,none,none,none
hepatitis e,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,none,none,none,none,none
alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,none,none,none,none,none,none,none,none,none,none
alcoholic hepatitis,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,none,none,none,none,none,none,none,none,none,none,none
alcoholic hepatitis,vomiting,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,none,none,none,none,none,none,none,none,none,none,none
alcoholic hepatitis,vomiting,yellowish_skin,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,none,none,none,none,none,none,none,none,none,none,none
alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,none,none,none,none,none,none,none,none,none,none,none
alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,history_of_alcohol_consumption,fluid_overload,none,none,none,none,none,none,none,none,none,none,none
